list of reactjs events and categories
 Awase Khirni Syed 2019-20 awase008@gmail.com 
 Elain Technologies Inc
 
react_event;category
onCopy;clipboard
onCut;clipboard
onPaste;clipboard 
onCompositionEnd;Composition
onCompositionstart;Composition 
onCompositionUpdate;Composition 
onKeyDown;Keyboard
onKeyPress;Keyboard 
onKeyUp;Keyboard 
onFocus;Focus
onBlur;onBlur 
onChange;Form 
onInput;;Form 
onSubmit;Form 
onClick;Mouse
onContextMenu;Mouse
onDoubleClick;Mouse
onDrag;Mouse
onDragEnd;Mouse 
onDragEnter;Mouse 
onDragExit;Mouse 
onDragLeave;Mouse
onDragOver;Mouse 
onDragStart;Mouse
onDrop;Mouse 
onMouseDown;Mouse 
onMouseEnter;Mouse 
onMouseLeave;Mouse 
onMouseMove;Mouse 
onMouseOut;Mouse 
onMouseOver;Mouse 
onMouseUp;Mouse 
onSelect;Selection
onTouchCancel;Touch
onTouchEnd;Touch 
onTouchMove;Touch 
onScroll;UI 
onWheel;MouseWheel
onAbort;Media 
onCanPlay;Media 
onCanPlayThrough;Media 
onDurationChange;Media 
onEmptied;Media 
onEncrypted;Media 
onEnded;Media
onError;Media 
onLoadedData;Media 
onLoadedMetadata;Media 
onLoadStart;Media 
onPause;Media
onPlay;Media
onProgress;Media 
onRateChange;Media 
onSeeked;Media 
onSeeking;Media 
onStalled;Media 
onSuspend;Media 
onTimeUpdate;Media 
onVolumeChange;Media 
onWaiting;Media 
onLoad;Image
onError;Image 
onAnimationStart;Animation
onAnimationEnd;Animation 
onAnimationIteration;Animation 
onTransitionEnd;Transition 
